date,Paris_weather,Paris_min,Paris_max,Paris_avg,tweetCount,replyCount,retweetCount,likeCount,quoteCount,reactions,replyAvg,retweetAvg,likeAvg,quoteAvg,reactionsAvg,contest
2018-02-17,2,4,9,6.5,25,181,1086,3038,14,4319,7.2,43.4,121.5,0.6,172.8,5
2018-02-18,3,4,8,6.0,27,316,1762,4855,27,6960,11.7,65.3,179.8,1.0,257.8,5
2018-02-19,2,3,5,4.0,32,3474,1989,10675,71,16209,108.6,62.2,333.6,2.2,506.5,0
2018-02-20,2,3,7,5.0,23,53,215,1212,16,1496,2.3,9.3,52.7,0.7,65.0,0
2018-02-21,3,1,6,3.5,23,29,158,925,5,1117,1.3,6.9,40.2,0.2,48.6,0
2018-02-22,3,0,5,2.5,20,24,46,326,7,403,1.2,2.3,16.3,0.4,20.2,0
2018-02-23,3,0,4,2.0,29,328,87,482,15,912,11.3,3.0,16.6,0.5,31.4,0
2018-02-24,3,0,5,2.5,7,17,128,593,6,744,2.4,18.3,84.7,0.9,106.3,0
2018-02-25,3,-1,3,1.0,12,38,136,632,2,808,3.2,11.3,52.7,0.2,67.3,1
2018-02-26,3,-3,0,-1.5,41,101,130,719,18,968,2.5,3.2,17.5,0.4,23.6,1
2018-02-27,2,-4,-2,-3.0,24,34,189,833,5,1061,1.4,7.9,34.7,0.2,44.2,1
2018-02-28,2,-5,-1,-3.0,25,51,78,507,4,640,2.0,3.1,20.3,0.2,25.6,1
2018-03-01,2,-2,3,0.5,47,210,256,2308,25,2799,4.5,5.4,49.1,0.5,59.6,1
2018-03-02,2,2,8,5.0,29,172,589,1658,20,2439,5.9,20.3,57.2,0.7,84.1,1
2018-03-03,2,4,10,7.0,17,140,230,1096,4,1470,8.2,13.5,64.5,0.2,86.5,1
2018-03-04,2,5,7,6.0,22,204,260,1822,29,2315,9.3,11.8,82.8,1.3,105.2,0
2018-03-05,3,6,12,9.0,40,242,159,2090,15,2506,6.0,4.0,52.2,0.4,62.6,0
2018-03-06,2,6,11,8.5,31,25,90,488,1,604,0.8,2.9,15.7,0.0,19.5,0
2018-03-07,2,6,10,8.0,16,27,64,358,5,454,1.7,4.0,22.4,0.3,28.4,0
2018-03-08,2,7,9,8.0,24,164,213,1152,14,1543,6.8,8.9,48.0,0.6,64.3,1
2018-03-09,2,7,14,10.5,33,122,178,892,11,1203,3.7,5.4,27.0,0.3,36.5,1
2018-03-10,2,11,15,13.0,10,35,122,622,2,781,3.5,12.2,62.2,0.2,78.1,0
2018-03-11,2,13,17,15.0,9,14,87,522,2,625,1.6,9.7,58.0,0.2,69.4,0
2018-03-12,2,10,12,11.0,37,25,114,530,4,673,0.7,3.1,14.3,0.1,18.2,1
2018-03-13,2,9,12,10.5,33,59,111,766,11,947,1.8,3.4,23.2,0.3,28.7,0
2018-03-14,3,8,13,10.5,33,53,100,501,7,661,1.6,3.0,15.2,0.2,20.0,0
2018-03-15,2,9,13,11.0,19,219,669,2793,28,3709,11.5,35.2,147.0,1.5,195.2,0
2018-03-16,2,9,13,11.0,22,216,287,1355,9,1867,9.8,13.0,61.6,0.4,84.9,0
2018-03-17,2,3,7,5.0,7,21,84,433,3,541,3.0,12.0,61.9,0.4,77.3,0
2018-03-18,2,0,2,1.0,8,14,77,513,6,610,1.8,9.6,64.1,0.8,76.2,0
2018-03-19,2,0,3,1.5,31,99,176,871,4,1150,3.2,5.7,28.1,0.1,37.1,0
2018-03-20,2,2,7,4.5,21,90,206,1142,10,1448,4.3,9.8,54.4,0.5,69.0,0
2018-03-21,3,4,8,6.0,28,196,366,1697,16,2275,7.0,13.1,60.6,0.6,81.2,0
2018-03-22,2,5,8,6.5,22,146,282,1218,8,1654,6.6,12.8,55.4,0.4,75.2,0
2018-03-23,2,5,6,5.5,28,4180,31637,13107,797,49721,149.3,1129.9,468.1,28.5,1775.8,4
2018-03-24,3,5,13,9.0,10,74,269,767,3,1113,7.4,26.9,76.7,0.3,111.3,2
2018-03-25,3,10,14,12.0,13,229,729,1569,12,2539,17.6,56.1,120.7,0.9,195.3,3
2018-03-26,3,8,13,10.5,28,65,357,835,10,1267,2.3,12.8,29.8,0.4,45.2,0
2018-03-27,2,7,11,9.0,30,179,625,1586,17,2407,6.0,20.8,52.9,0.6,80.2,3
2018-03-28,1,7,12,9.5,23,246,905,2955,44,4150,10.7,39.3,128.5,1.9,180.4,3
2018-03-29,3,7,12,9.5,21,242,699,2129,18,3088,11.5,33.3,101.4,0.9,147.0,1
2018-03-30,2,6,10,8.0,29,251,476,1554,11,2292,8.7,16.4,53.6,0.4,79.0,2
2018-03-31,2,8,11,9.5,20,186,614,1363,6,2169,9.3,30.7,68.2,0.3,108.4,3
2018-04-01,2,8,10,9.0,11,43,338,634,5,1020,3.9,30.7,57.6,0.5,92.7,2
2018-04-02,2,10,16,13.0,12,114,530,1147,8,1799,9.5,44.2,95.6,0.7,149.9,2
2018-04-03,2,11,14,12.5,37,275,167,947,12,1401,7.4,4.5,25.6,0.3,37.9,1
2018-04-04,3,11,14,12.5,18,19,59,360,6,444,1.1,3.3,20.0,0.3,24.7,0
2018-04-05,2,9,10,9.5,19,21,69,461,1,552,1.1,3.6,24.3,0.1,29.1,0
2018-04-06,3,11,19,15.0,21,111,75,430,6,622,5.3,3.6,20.5,0.3,29.6,1
2018-04-07,2,15,20,17.5,9,13,61,392,3,469,1.4,6.8,43.6,0.3,52.1,0
2018-04-08,3,16,21,18.5,17,26,54,545,5,630,1.5,3.2,32.1,0.3,37.1,0
2018-04-09,2,12,14,13.0,23,57,106,578,10,751,2.5,4.6,25.1,0.4,32.7,0
2018-04-10,3,12,15,13.5,19,21,64,376,4,465,1.1,3.4,19.8,0.2,24.5,0
2018-04-11,3,13,18,15.5,12,17,68,376,5,466,1.4,5.7,31.3,0.4,38.8,0
2018-04-12,2,12,14,13.0,18,23,36,240,0,299,1.3,2.0,13.3,0.0,16.6,3
2018-04-13,3,13,17,15.0,30,72,107,729,5,913,2.4,3.6,24.3,0.2,30.4,1
2018-04-14,2,14,17,15.5,7,16,94,488,5,603,2.3,13.4,69.7,0.7,86.1,0
2018-04-15,2,14,17,15.5,8,54,84,662,8,808,6.8,10.5,82.8,1.0,101.0,0
2018-04-16,3,13,16,14.5,32,45,72,531,10,658,1.4,2.2,16.6,0.3,20.6,0
2018-04-17,3,15,21,18.0,24,44,110,578,3,735,1.8,4.6,24.1,0.1,30.6,1
2018-04-18,3,18,25,21.5,30,112,100,1052,9,1273,3.7,3.3,35.1,0.3,42.4,0
2018-04-19,3,20,27,23.5,22,67,219,1086,7,1379,3.0,10.0,49.4,0.3,62.7,0
2018-04-20,3,23,28,25.5,21,136,1050,603,11,1800,6.5,50.0,28.7,0.5,85.7,2
2018-04-21,3,21,27,24.0,9,26,114,433,6,579,2.9,12.7,48.1,0.7,64.3,2
2018-04-22,3,22,26,24.0,10,26,120,622,1,769,2.6,12.0,62.2,0.1,76.9,2
2018-04-23,3,16,19,17.5,35,38,186,858,5,1087,1.1,5.3,24.5,0.1,31.1,0
2018-04-24,3,15,20,17.5,25,65,163,891,13,1132,2.6,6.5,35.6,0.5,45.3,0
2018-04-25,2,13,15,14.0,23,70,53,448,5,576,3.0,2.3,19.5,0.2,25.0,0
