,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
274,02/04/2018,10°C/16°C,6°C/16°C,10°C/17°C,5°C/17°C,10°C/15°C
275,03/04/2018,11°C/14°C,8°C/13°C,13°C/14°C,8°C/14°C,11°C/12°C
276,04/04/2018,11°C/14°C,8°C/14°C,11°C/14°C,7°C/14°C,12°C/14°C
277,05/04/2018,9°C/10°C,7°C/10°C,9°C/10°C,6°C/10°C,8°C/10°C
278,06/04/2018,11°C/19°C,5°C/19°C,11°C/19°C,5°C/19°C,11°C/19°C
279,07/04/2018,15°C/20°C,11°C/19°C,14°C/20°C,10°C/20°C,16°C/19°C
280,08/04/2018,16°C/21°C,11°C/21°C,17°C/21°C,12°C/21°C,15°C/21°C
281,09/04/2018,12°C/14°C,11°C/13°C,10°C/13°C,10°C/13°C,13°C/14°C
282,10/04/2018,12°C/15°C,9°C/15°C,13°C/15°C,8°C/15°C,13°C/15°C
283,11/04/2018,13°C/18°C,8°C/18°C,13°C/18°C,7°C/18°C,13°C/18°C
284,12/04/2018,12°C/14°C,9°C/14°C,9°C/12°C,9°C/12°C,12°C/15°C
285,13/04/2018,13°C/17°C,8°C/16°C,12°C/17°C,8°C/17°C,13°C/17°C
286,14/04/2018,14°C/17°C,9°C/16°C,13°C/16°C,9°C/16°C,14°C/17°C
287,15/04/2018,14°C/17°C,9°C/16°C,14°C/17°C,9°C/17°C,14°C/16°C
288,16/04/2018,13°C/16°C,8°C/15°C,13°C/16°C,8°C/16°C,13°C/16°C
289,17/04/2018,15°C/21°C,9°C/20°C,15°C/20°C,8°C/20°C,15°C/21°C
290,18/04/2018,18°C/25°C,11°C/25°C,18°C/24°C,11°C/24°C,18°C/25°C
291,19/04/2018,20°C/27°C,14°C/26°C,20°C/26°C,13°C/26°C,20°C/27°C
292,20/04/2018,23°C/28°C,16°C/27°C,23°C/27°C,15°C/27°C,23°C/28°C
293,21/04/2018,21°C/27°C,16°C/27°C,22°C/26°C,15°C/26°C,21°C/27°C
294,22/04/2018,22°C/26°C,16°C/25°C,21°C/25°C,15°C/25°C,22°C/26°C
295,23/04/2018,16°C/19°C,11°C/18°C,16°C/18°C,13°C/18°C,15°C/18°C
296,24/04/2018,15°C/20°C,9°C/19°C,15°C/20°C,9°C/20°C,15°C/20°C
297,25/04/2018,13°C/15°C,9°C/15°C,13°C/16°C,9°C/16°C,12°C/15°C
298,26/04/2018,12°C/14°C,6°C/14°C,12°C/14°C,6°C/14°C,12°C/14°C
299,27/04/2018,14°C/18°C,8°C/18°C,14°C/18°C,7°C/18°C,14°C/18°C
300,28/04/2018,12°C/15°C,9°C/15°C,13°C/14°C,8°C/14°C,12°C/16°C
301,29/04/2018,10°C/12°C,9°C/11°C,9°C/12°C,8°C/12°C,9°C/11°C
302,30/04/2018,6°C/10°C,5°C/9°C,7°C/10°C,5°C/10°C,6°C/9°C
303,01/01/2018,7°C/9°C,6°C/9°C,7°C/9°C,6°C/9°C,7°C/9°C
304,02/01/2018,5°C/11°C,4°C/11°C,5°C/11°C,4°C/11°C,5°C/11°C
305,03/01/2018,9°C/15°C,8°C/15°C,9°C/15°C,8°C/15°C,10°C/14°C
306,01/05/2018,4°C/13°C,9°C/13°C,3°C/13°C,10°C/13°C,12°C/16°C
307,02/05/2018,5°C/15°C,12°C/16°C,4°C/16°C,12°C/15°C,13°C/16°C
308,03/05/2018,5°C/16°C,13°C/16°C,7°C/16°C,13°C/16°C,14°C/18°C
309,04/05/2018,6°C/18°C,14°C/18°C,6°C/18°C,14°C/18°C,16°C/23°C
310,05/05/2018,9°C/22°C,16°C/22°C,9°C/22°C,16°C/22°C,20°C/26°C
311,06/05/2018,13°C/26°C,20°C/25°C,13°C/25°C,20°C/26°C,21°C/25°C
312,07/05/2018,16°C/25°C,20°C/24°C,14°C/24°C,22°C/25°C,9°C/15°C
313,04/01/2018,10°C/14°C,9°C/14°C,8°C/14°C,8°C/14°C,13°C/14°C
314,05/01/2018,8°C/11°C,7°C/10°C,8°C/10°C,8°C/10°C,9°C/10°C
315,06/01/2018,6°C/7°C,5°C/7°C,6°C/7°C,6°C/7°C,6°C/7°C
316,07/01/2018,6°C/7°C,5°C/7°C,6°C/7°C,6°C/7°C,5°C/6°C
317,08/01/2018,5°C/8°C,4°C/7°C,5°C/8°C,4°C/8°C,5°C/7°C
318,09/01/2018,5°C/8°C,4°C/8°C,5°C/8°C,4°C/8°C,4°C/7°C
319,10/01/2018,7°C/8°C,6°C/8°C,6°C/8°C,6°C/8°C,7°C/8°C
320,11/01/2018,5°C/7°C,4°C/7°C,5°C/7°C,4°C/7°C,5°C/7°C
321,12/01/2018,4°C/5°C,3°C/5°C,4°C/6°C,3°C/6°C,4°C/5°C
322,13/01/2018,3°C/6°C,3°C/6°C,3°C/6°C,2°C/6°C,3°C/6°C
323,14/01/2018,2°C/7°C,1°C/7°C,3°C/8°C,1°C/8°C,2°C/7°C
324,15/01/2018,5°C/9°C,3°C/9°C,5°C/9°C,3°C/9°C,5°C/9°C
325,16/01/2018,7°C/10°C,6°C/9°C,7°C/9°C,7°C/9°C,6°C/9°C
326,17/01/2018,5°C/7°C,4°C/7°C,4°C/7°C,3°C/7°C,5°C/7°C
327,18/01/2018,8°C/11°C,6°C/11°C,10°C/11°C,6°C/11°C,10°C/11°C
328,19/01/2018,5°C/7°C,4°C/7°C,5°C/7°C,3°C/7°C,5°C/7°C
329,20/01/2018,5°C/10°C,4°C/11°C,5°C/11°C,4°C/11°C,6°C/10°C
330,21/01/2018,5°C/10°C,6°C/11°C,5°C/11°C,5°C/11°C,5°C/11°C
331,22/01/2018,8°C/12°C,8°C/13°C,10°C/13°C,8°C/13°C,10°C/13°C
332,23/01/2018,7°C/11°C,6°C/11°C,7°C/11°C,7°C/11°C,7°C/12°C
333,24/01/2018,11°C/12°C,11°C/11°C,10°C/11°C,10°C/11°C,11°C/12°C
334,25/01/2018,8°C/11°C,7°C/11°C,8°C/11°C,7°C/11°C,9°C/11°C
335,26/01/2018,5°C/9°C,4°C/9°C,5°C/8°C,4°C/8°C,4°C/9°C
336,27/01/2018,4°C/8°C,3°C/8°C,4°C/7°C,2°C/7°C,4°C/8°C
337,28/01/2018,7°C/10°C,5°C/10°C,6°C/9°C,4°C/9°C,9°C/10°C
338,29/01/2018,9°C/11°C,22°C/26°C,15°C/26°C,21°C/26°C,14°C/26°C
339,08/05/2018,22°C/26°C,17°C/22°C,11°C/20°C,18°C/22°C,11°C/22°C
340,09/05/2018,17°C/21°C,14°C/16°C,10°C/16°C,14°C/16°C,11°C/16°C
341,10/05/2018,14°C/16°C,15°C/20°C,8°C/20°C,15°C/20°C,7°C/20°C
342,11/05/2018,15°C/21°C,14°C/21°C,9°C/19°C,19°C/20°C,10°C/20°C
343,12/05/2018,19°C/20°C,11°C/14°C,8°C/15°C,11°C/13°C,8°C/13°C
344,13/05/2018,11°C/15°C,11°C/14°C,9°C/14°C,10°C/13°C,9°C/13°C
345,14/05/2018,12°C/15°C,13°C/20°C,11°C/19°C,12°C/19°C,11°C/19°C
346,15/05/2018,14°C/19°C,16°C/20°C,10°C/20°C,16°C/20°C,10°C/20°C
347,16/05/2018,16°C/20°C,12°C/18°C,8°C/18°C,12°C/18°C,8°C/18°C
348,17/05/2018,13°C/18°C,13°C/18°C,6°C/18°C,13°C/17°C,6°C/17°C
349,18/05/2018,13°C/18°C,14°C/18°C,7°C/18°C,14°C/18°C,7°C/18°C
350,19/05/2018,14°C/18°C,16°C/21°C,8°C/21°C,17°C/21°C,7°C/21°C
351,20/05/2018,16°C/22°C,17°C/24°C,12°C/23°C,17°C/22°C,10°C/22°C
352,21/05/2018,18°C/24°C,19°C/23°C,13°C/22°C,19°C/23°C,12°C/23°C
353,22/05/2018,19°C/23°C,18°C/21°C,12°C/20°C,18°C/21°C,12°C/21°C
354,23/05/2018,17°C/19°C,21°C/24°C,13°C/23°C,20°C/23°C,13°C/23°C
355,24/05/2018,21°C/24°C,20°C/25°C,14°C/25°C,21°C/24°C,14°C/24°C
356,25/05/2018,21°C/25°C,23°C/28°C,16°C/28°C,22°C/27°C,16°C/27°C
357,26/05/2018,23°C/29°C,24°C/28°C,18°C/27°C,23°C/27°C,17°C/27°C
358,27/05/2018,24°C/28°C,21°C/25°C,17°C/26°C,15°C/23°C,15°C/23°C
359,28/05/2018,25°C/27°C,20°C/24°C,16°C/23°C,19°C/23°C,15°C/23°C
360,29/05/2018,21°C/24°C,21°C/25°C,15°C/24°C,20°C/24°C,14°C/24°C
361,30/05/2018,21°C/25°C,22°C/24°C,16°C/23°C,21°C/23°C,15°C/23°C
362,31/05/2018,22°C/24°C,8°C/11°C,9°C/11°C,8°C/11°C,9°C/10°C
363,30/01/2018,8°C/10°C,8°C/10°C,8°C/10°C,7°C/10°C,8°C/10°C
364,31/01/2018,8°C/9°C,7°C/9°C,8°C/9°C,7°C/9°C,7°C/9°C
