mediaType,replyCount,retweetCount,likeCount,quoteCount,tweetCount,reactions
gif,15015,24578,134801,969,1370,175363
none,59951,116391,319692,5304,7849,501338
photo,159398,620185,807020,24709,7430,1611312
video,43994,339695,189983,13231,351,586903
