date,replyCount,retweetCount,likeCount,quoteCount
08/05/2019,59,192,656,3
08/05/2020,17,26,257,6
08/06/2019,5,8,79,0
08/06/2020,63,114,1307,8
08/07/2019,1155,13692,5930,229
08/07/2020,28,7,290,2
08/08/2019,187,58,405,26
08/08/2020,29,8,208,4
08/09/2019,14,20,195,4
08/09/2020,8,19,229,0
08/10/2018,86,103,612,10
08/10/2019,92,22,175,7
08/10/2020,71,349,807,5
08/11/2018,20,43,264,0
08/11/2019,29,40,277,3
08/11/2020,28,20,417,1
08/12/2018,78,391,792,6
08/12/2019,15,33,434,2
08/12/2020,18,24,418,2
09/01/2019,339,228,1301,28
09/01/2020,175,171,1554,15
09/01/2021,15,21,223,2
09/02/2019,67,83,690,10
09/02/2020,82,535,1077,18
09/03/2019,25,143,606,3
09/03/2020,74,47,491,7
09/04/2019,42,88,641,2
09/04/2020,41,30,310,1
09/05/2019,12,23,177,3
09/05/2020,7,12,155,2
09/06/2019,5,32,210,1
09/06/2020,10,13,196,2
09/07/2019,166,724,961,26
09/07/2020,14,4,214,0
09/08/2019,53,9,86,2
09/08/2020,30,56,513,3
09/09/2019,14,8,118,3
09/09/2020,132,115,1034,19
09/10/2018,50,102,585,4
09/10/2019,84,89,603,11
09/10/2020,283,1201,3486,30
09/11/2018,93,86,696,7
09/11/2019,4,14,115,0
09/11/2020,78,56,675,10
09/12/2018,117,654,827,14
09/12/2019,354,235,3175,15
09/12/2020,16,14,248,2
10/01/2019,236,310,1987,28
10/01/2020,56,64,520,8
10/01/2021,19,27,434,3
10/02/2019,43,111,940,3
10/02/2020,152,378,1112,17
10/03/2019,22,37,346,2
10/03/2020,848,15743,6383,413
10/04/2019,36,112,959,4
10/04/2020,58,291,1850,35
10/05/2019,53,238,742,10
10/05/2020,17,34,563,4
10/06/2019,10,21,178,0
10/06/2020,9,9,188,2
10/07/2019,29,224,455,5
10/07/2020,7,10,161,0
10/08/2019,0,1,24,0
10/08/2020,13,11,168,1
10/09/2019,14,14,153,0
10/09/2020,5,20,202,2
10/10/2018,29,84,471,2
10/10/2019,91,62,659,10
10/10/2020,90,603,996,12
10/11/2018,8,33,243,2
10/11/2019,13,33,276,0
10/11/2020,45,52,523,1
10/12/2018,41,300,645,7
10/12/2019,341,216,4419,6
10/12/2020,431,1489,4476,95
11/01/2019,155,289,1767,11
11/01/2020,14,27,160,2
11/01/2021,16,14,178,2
11/02/2019,250,1028,3476,44
11/02/2020,71,198,1218,4
11/03/2019,1289,21039,6961,366
11/03/2020,47,392,618,34
11/04/2019,72,177,1038,10
11/04/2020,10,10,116,1
11/05/2019,4542,71668,28363,2076
11/05/2020,137,242,1444,11
11/06/2019,4,11,73,1
11/06/2020,27,29,529,0
11/07/2019,78,425,714,12
11/07/2020,21,13,281,3
11/08/2019,12,16,135,0
11/08/2020,32,48,369,4
11/09/2019,81,38,342,6
11/09/2020,14,22,279,2
11/10/2018,26,65,353,4
11/10/2019,53,190,929,13
11/10/2020,382,1248,3194,32
11/11/2018,27,191,874,3
11/11/2019,6,48,236,1
11/11/2020,30,25,439,1
11/12/2018,207,249,675,15
11/12/2019,450,315,4761,8
11/12/2020,75,205,1079,13
12/01/2019,24,96,399,2
12/01/2020,18,22,234,0
12/02/2019,143,42,1074,5
12/02/2020,227,418,2532,25
12/03/2019,95,552,2121,21
12/03/2020,156,461,3261,34
12/04/2019,46,105,766,9
12/04/2020,15,46,367,3
12/05/2019,160,1338,4937,21
12/05/2020,25,63,444,3
12/06/2019,26,20,175,1
12/06/2020,1047,8374,4395,281
12/07/2019,870,195,2185,14
12/07/2020,13,11,295,3
12/08/2019,35,48,509,15
12/08/2020,7,7,121,1
12/09/2019,20,11,147,4
12/09/2020,13,35,256,1
12/10/2018,38,68,487,10
12/10/2019,5,11,76,3
12/10/2020,141,609,1519,5
12/11/2018,56,203,1529,7
12/11/2019,161,1144,6008,9
12/11/2020,15,19,206,0
12/12/2018,162,98,720,4
12/12/2019,929,279,6157,12
12/12/2020,91,242,1098,10
13/01/2019,47,111,781,3
13/01/2020,26,37,247,1
13/02/2019,43,97,896,6
13/02/2020,20,126,474,2
13/03/2019,135,279,1195,19
13/03/2020,158,760,2252,40
13/04/2019,37,40,392,5
13/04/2020,18,22,211,0
13/05/2019,45,512,1157,6
13/05/2020,79,112,917,21
13/06/2019,18,13,194,1
13/06/2020,19,80,322,6
13/07/2019,488,13,146,43
13/07/2020,11,5,125,2
13/08/2019,85,817,3533,33
13/08/2020,8,4,111,1
13/09/2019,2067,1993,4044,323
13/09/2020,29,32,390,1
13/10/2018,17,67,351,3
13/10/2019,14,22,182,1
13/10/2020,133,870,1805,6
13/11/2018,147,222,1314,25
13/11/2019,854,2384,8512,66
13/11/2020,30,103,527,4
13/12/2018,97,148,1375,9
13/12/2019,432,339,4580,12
13/12/2020,26,69,777,7
14/01/2019,586,10626,4142,90
14/01/2020,154,43,416,12
14/02/2019,47,165,981,18
14/02/2020,160,402,1927,17
14/03/2019,66,298,958,11
14/03/2020,10,27,236,3
14/04/2019,22,54,573,3
14/04/2020,32,17,173,0
14/05/2019,246,1203,4478,43
14/05/2020,40,25,301,2
14/06/2019,28,176,780,7
14/06/2020,154,304,584,9
14/07/2019,13,26,294,0
14/07/2020,17,11,298,2
14/08/2019,25,10,128,2
14/08/2020,54,104,709,5
14/09/2019,6,10,78,1
14/09/2020,94,33,314,4
14/10/2018,29,115,764,4
14/10/2019,352,86,968,7
14/10/2020,63,478,1034,5
14/11/2018,49,92,832,3
14/11/2019,195,1085,3032,20
14/11/2020,14,25,232,0
14/12/2018,23,31,248,6
14/12/2019,27,15,181,4
14/12/2020,91,291,1566,22
15/01/2019,87,526,1095,9
15/01/2020,143,229,1575,31
15/02/2019,1613,27351,7332,512
15/02/2020,17,80,320,4
15/03/2019,106,343,888,8
15/03/2020,61,87,831,6
15/04/2019,25,38,409,2
15/04/2020,12,33,261,1
15/05/2019,103,256,919,18
