,Date,Paris,Paris_weather,Paris_min,Paris_max,Paris_avg,Versailles,Versailles_weather,Versailles_min,Versailles_max,Versailles_avg,Melun,Melun_weather,Melun_min,Melun_max,Fontainebleau,Fontainebleau_weather,Fontainebleau_min,Fontainebleau_max,Fontainebleau_avg,Cergy,Cergy_weather,Cergy_min,Cergy_max,Cergy_avg
0,01/01/2020,2°C/6°C,3,2,6,4.0,2°C/7°C,2,2,7,4.5,2°C/6°C,3,2,6,1°C/6°C,3,1,6,3.5,2°C/6°C,3,2,6,4.0
1,02/01/2020,7°C/9°C,2,7,9,8.0,4°C/9°C,2,4,9,6.5,7°C/9°C,1,7,9,6°C/9°C,1,6,9,7.5,6°C/9°C,2,6,9,7.5
2,03/01/2020,9°C/11°C,2,9,11,10.0,8°C/10°C,2,8,10,9.0,9°C/11°C,2,9,11,7°C/11°C,2,7,11,9.0,10°C/11°C,2,10,11,10.5
3,04/01/2020,6°C/8°C,3,6,8,7.0,5°C/8°C,3,5,8,6.5,5°C/8°C,3,5,8,5°C/8°C,3,5,8,6.5,5°C/8°C,3,5,8,6.5
4,05/01/2020,7°C/10°C,2,7,10,8.5,6°C/9°C,2,6,9,7.5,6°C/9°C,3,6,9,6°C/9°C,3,6,9,7.5,7°C/9°C,2,7,9,8.0
5,06/01/2020,4°C/8°C,3,4,8,6.0,2°C/6°C,3,2,6,4.0,3°C/7°C,3,3,7,2°C/7°C,3,2,7,4.5,3°C/6°C,3,3,6,4.5
6,07/01/2020,6°C/10°C,3,6,10,8.0,6°C/10°C,3,6,10,8.0,6°C/10°C,2,6,10,5°C/10°C,2,5,10,7.5,6°C/10°C,3,6,10,8.0
7,08/01/2020,10°C/11°C,2,10,11,10.5,10°C/11°C,2,10,11,10.5,10°C/11°C,2,10,11,10°C/11°C,2,10,11,10.5,11°C/12°C,2,11,12,11.5
8,09/01/2020,10°C/11°C,2,10,11,10.5,3°C/11°C,2,3,11,7.0,10°C/11°C,2,10,11,10°C/11°C,2,10,11,10.5,9°C/12°C,1,9,12,10.5
9,10/01/2020,8°C/10°C,2,8,10,9.0,6°C/9°C,2,6,9,7.5,8°C/9°C,2,8,9,6°C/9°C,2,6,9,7.5,8°C/9°C,2,8,9,8.5
10,11/01/2020,5°C/8°C,3,5,8,6.5,4°C/7°C,3,4,7,5.5,4°C/7°C,3,4,7,4°C/7°C,3,4,7,5.5,5°C/7°C,3,5,7,6.0
11,12/01/2020,6°C/8°C,2,6,8,7.0,4°C/8°C,2,4,8,6.0,4°C/7°C,2,4,7,2°C/7°C,2,2,7,4.5,6°C/9°C,2,6,9,7.5
12,13/01/2020,7°C/10°C,2,7,10,8.5,4°C/9°C,2,4,9,6.5,7°C/9°C,2,7,9,4°C/9°C,2,4,9,6.5,7°C/9°C,2,7,9,8.0
13,14/01/2020,7°C/10°C,2,7,10,8.5,3°C/9°C,2,3,9,6.0,9°C/10°C,2,9,10,9°C/10°C,2,9,10,9.5,4°C/10°C,2,4,10,7.0
14,15/01/2020,9°C/11°C,3,9,11,10.0,8°C/10°C,3,8,10,9.0,9°C/11°C,3,9,11,8°C/11°C,3,8,11,9.5,9°C/11°C,3,9,11,10.0
15,16/01/2020,7°C/12°C,3,7,12,9.5,6°C/12°C,3,6,12,9.0,6°C/12°C,3,6,12,5°C/12°C,3,5,12,8.5,6°C/12°C,3,6,12,9.0
16,17/01/2020,8°C/10°C,1,8,10,9.0,5°C/10°C,2,5,10,7.5,9°C/10°C,1,9,10,6°C/10°C,1,6,10,8.0,9°C/10°C,2,9,10,9.5
17,18/01/2020,5°C/8°C,3,5,8,6.5,3°C/8°C,3,3,8,5.5,4°C/8°C,3,4,8,3°C/8°C,3,3,8,5.5,4°C/8°C,3,4,8,6.0
